strategy,parameter,metric,spearman_rho,abs_spearman_rho,sensitivity_status
fixed,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,dispersion_scale,working_fraction_C,,,constant_metric
fixed,noise_figure_offset_db,minimum_gsnr_db,0.39999999999999997,0.39999999999999997,ok
fixed,noise_figure_offset_db,minimum_ngmi,-0.2581988897471611,0.2581988897471611,ok
fixed,noise_figure_offset_db,working_fraction,,,constant_metric
fixed,noise_figure_offset_db,air_tbps,,,constant_metric
fixed,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
fixed,noise_figure_offset_db,working_fraction_C,,,constant_metric
fixed,raman_gain_scale,minimum_gsnr_db,0.39999999999999997,0.39999999999999997,ok
fixed,raman_gain_scale,minimum_ngmi,0.7745966692414834,0.7745966692414834,ok
fixed,raman_gain_scale,working_fraction,,,constant_metric
fixed,raman_gain_scale,air_tbps,,,constant_metric
fixed,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,raman_gain_scale,working_fraction_C,,,constant_metric
fixed,pump_power_scale,minimum_gsnr_db,0.6000000000000001,0.6000000000000001,ok
fixed,pump_power_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611,ok
fixed,pump_power_scale,working_fraction,,,constant_metric
fixed,pump_power_scale,air_tbps,,,constant_metric
fixed,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,pump_power_scale,working_fraction_C,,,constant_metric
fixed,transceiver_snr_offset_db,minimum_gsnr_db,0.7999999999999999,0.7999999999999999,ok
fixed,transceiver_snr_offset_db,minimum_ngmi,0.2581988897471611,0.2581988897471611,ok
fixed,transceiver_snr_offset_db,working_fraction,,,constant_metric
fixed,transceiver_snr_offset_db,air_tbps,,,constant_metric
fixed,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
fixed,transceiver_snr_offset_db,working_fraction_C,,,constant_metric
adaptive,attenuation_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997,ok
adaptive,attenuation_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611,ok
adaptive,attenuation_scale,working_fraction,,,constant_metric
adaptive,attenuation_scale,air_tbps,,,constant_metric
adaptive,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,attenuation_scale,working_fraction_C,,,constant_metric
adaptive,gamma_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
adaptive,gamma_scale,minimum_ngmi,-0.7745966692414834,0.7745966692414834,ok
adaptive,gamma_scale,working_fraction,,,constant_metric
adaptive,gamma_scale,air_tbps,,,constant_metric
adaptive,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,gamma_scale,working_fraction_C,,,constant_metric
adaptive,dispersion_scale,minimum_gsnr_db,0.7999999999999999,0.7999999999999999,ok
adaptive,dispersion_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611,ok
adaptive,dispersion_scale,working_fraction,,,constant_metric
adaptive,dispersion_scale,air_tbps,,,constant_metric
adaptive,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,dispersion_scale,working_fraction_C,,,constant_metric
adaptive,noise_figure_offset_db,minimum_gsnr_db,0.39999999999999997,0.39999999999999997,ok
adaptive,noise_figure_offset_db,minimum_ngmi,-0.2581988897471611,0.2581988897471611,ok
adaptive,noise_figure_offset_db,working_fraction,,,constant_metric
adaptive,noise_figure_offset_db,air_tbps,,,constant_metric
adaptive,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
adaptive,noise_figure_offset_db,working_fraction_C,,,constant_metric
adaptive,raman_gain_scale,minimum_gsnr_db,0.39999999999999997,0.39999999999999997,ok
adaptive,raman_gain_scale,minimum_ngmi,0.7745966692414834,0.7745966692414834,ok
adaptive,raman_gain_scale,working_fraction,,,constant_metric
adaptive,raman_gain_scale,air_tbps,,,constant_metric
adaptive,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,raman_gain_scale,working_fraction_C,,,constant_metric
adaptive,pump_power_scale,minimum_gsnr_db,0.6000000000000001,0.6000000000000001,ok
adaptive,pump_power_scale,minimum_ngmi,0.2581988897471611,0.2581988897471611,ok
adaptive,pump_power_scale,working_fraction,,,constant_metric
adaptive,pump_power_scale,air_tbps,,,constant_metric
adaptive,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,pump_power_scale,working_fraction_C,,,constant_metric
adaptive,transceiver_snr_offset_db,minimum_gsnr_db,0.7999999999999999,0.7999999999999999,ok
adaptive,transceiver_snr_offset_db,minimum_ngmi,0.2581988897471611,0.2581988897471611,ok
adaptive,transceiver_snr_offset_db,working_fraction,,,constant_metric
adaptive,transceiver_snr_offset_db,air_tbps,,,constant_metric
adaptive,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
adaptive,transceiver_snr_offset_db,working_fraction_C,,,constant_metric
